date,ARIMA,SARIMA,Prophet,Ensemble
2025-11-01,627.621709630806,710.0133804171473,585.9644595488963,641.1998498656166
2025-11-02,600.8052825083358,685.7365502683222,566.6951851569977,617.7456726445519
2025-11-03,556.0164619271675,470.96519563118284,348.31822333456216,458.43329363097087
2025-11-04,467.2163411914814,466.4044905333117,339.359776953391,424.3268695593947
2025-11-05,436.7417476212549,468.2766446697008,331.40345044884566,412.1406142466005
2025-11-06,488.6706235870461,488.26114894565535,344.4405850835986,440.45745253876663
2025-11-07,572.5909192420984,490.82967821083395,339.7556789981559,467.72542548369603
2025-11-08,629.2510846859178,690.8752640284368,533.2493134269708,617.7918873804418
2025-11-09,621.3622341379036,677.5790924397223,513.680995508921,604.2074406955156
2025-11-10,547.8453866559217,466.13558181979477,296.8418790610589,436.94094917892517
2025-11-11,466.4195315424314,464.63689684952976,291.2964454661479,407.450957952703
2025-11-12,439.8615289336558,464.39378003085596,288.607839598012,397.62104952084127
2025-11-13,486.62679218736963,485.1955985741009,308.68725817145514,426.8365496443086
2025-11-14,571.337300926511,489.6383478791089,312.68031275579943,457.88532052047316
2025-11-15,631.1417429882689,688.1222812995686,516.2927951611264,611.8522731496546
2025-11-16,620.3751434774547,674.6397840829254,508.03820283349046,601.0177101312902
2025-11-17,547.2541175296548,463.13980399126365,303.4168745953999,437.93693203877274
2025-11-18,467.1777439105016,461.58915979322603,310.6656522302601,413.14418531132924
2025-11-19,440.2938442125133,461.3819369332996,320.9925449566818,407.55610870083154
2025-11-20,486.6717363756815,482.16988650386804,353.9365310422946,440.92605130728134
2025-11-21,571.4292193630884,486.580832242623,370.2651178381857,476.0917231479657
2025-11-22,630.6757613693941,685.0912652814096,585.31175782468,633.6929281584945
2025-11-23,619.8353156254311,671.611929817045,587.235128684978,626.2274580424847
2025-11-24,547.2055527543639,460.1129079536359,391.20976895492623,466.1760765543086
2025-11-25,467.53220106130226,458.56314544969746,405.186627569098,443.7606580266992
2025-11-26,440.76676690396613,458.3553135065921,420.13765962041157,439.75324667698993
2025-11-27,486.98673875731953,479.1434984192142,455.42428084088317,473.85150600580556
2025-11-28,571.3001038102625,483.5549838314383,471.70201344923316,508.8523670303113
2025-11-29,630.1944725206386,682.0649671992403,684.2631744945716,665.5075380714835
2025-11-30,619.3898367560096,668.5855780832252,681.2994184959239,656.4249444450529
